,code,rfm_group,cnt,total_price
515,stationery.paper,잠재적 고가치 고객,24,44.849999999999994
516,country_yard.watering,잠재적 고가치 고객,1,0.0
517,country_yard.watering,,82,5477.500000000002
518,stationery.paper,이탈 우려 고객,9,18.62
519,country_yard.watering,VIP,21,1256.1399999999999
520,stationery.paper,VIP,29,74.78
521,country_yard.watering,이탈 우려 고객,7,355.5
522,country_yard.watering,일시적 고객,6,363.52
523,stationery.paper,이탈 고객,9,20.830000000000002
524,stationery.paper,신규 고객,14,17.43
525,country_yard.watering,충성고객,14,398.38
526,country_yard.watering,신규 고객,12,302.15
527,apparel.hat,,5,0.0
528,country_yard.watering,이탈 고객,4,212.28999999999996
